chr1	85420	85421
chr1	399907	399908
chr1	85529	85530
chr1	399798	399799
chr1	85577	85578
chr1	399750	399751
chr1	85580	85581
chr1	399747	399748
chr1	85638	85639
chr1	399689	399690
chr1	85876	85877
chr1	399450	399451
chr1	85942	85943
chr1	399384	399385
chr1	85988	85989
chr1	399338	399339
chr1	86018	86019
chr1	399308	399309
chr1	86029	86030
chr1	399297	399298
chr1	86043	86044
chr1	399283	399284
chr1	86075	86076
chr1	399251	399252
chr1	86299	86300
chr1	399027	399028
chr1	86303	86304
chr1	399023	399024
chr1	86329	86330
chr1	398997	398998
chr1	86340	86341
chr1	398986	398987
chr1	86394	86395
chr1	398932	398933
chr1	86604	86605
chr1	398722	398723
chr1	86656	86657
chr1	398669	398670
chr1	86659	86660
chr1	398666	398667
chr1	86707	86709
chr1	398617	398619
chr1	86710	86711
chr1	398615	398616
chr1	86960	86961
chr1	398365	398366
chr1	86970	86971
chr1	398355	398356
chr1	86986	86987
chr1	398339	398340
chr1	87068	87069
chr1	398257	398258
chr1	87082	87083
chr1	398243	398244
chr1	87095	87096
chr1	398230	398231
chr1	88080	88081
chr1	235605	235606
chr1	88144	88145
chr1	235669	235670
chr1	89177	89178
chr1	235738	235739
chr1	89254	89255
chr1	235815	235816
chr1	89264	89265
chr1	235825	235826
chr1	89327	89328
chr1	235888	235889
chr1	89349	89350
chr1	235910	235911
chr1	89360	89361
chr1	235921	235922
chr1	89368	89369
chr1	235929	235930
chr1	89459	89460
chr1	236020	236021
chr1	89488	89489
chr1	236049	236050
chr1	89494	89495
chr1	236055	236056
chr1	89518	89519
chr1	236079	236080
chr1	89631	89632
chr1	236192	236193
chr1	89807	89808
chr1	236371	236372
chr1	89848	89849
chr1	236412	236413
chr1	89852	89853
chr1	236416	236417
chr1	89888	89889
chr1	236452	236453
chr1	89922	89924
chr1	236486	236488
chr1	89931	89932
chr1	236495	236496
chr1	89989	89990
chr1	236553	236554
chr1	90040	90041
chr1	236604	236605
chr1	90363	90364
chr1	236691	236692
chr1	90376	90377
chr1	236704	236705
chr1	90641	90642
chr1	236969	236970
chr1	90710	90711
chr1	237038	237039
chr1	90715	90717
chr1	237043	237045
chr1	90781	90782
chr1	237109	237110
chr1	90822	90823
chr1	237150	237151
chr1	90856	90857
chr1	237184	237185
chr1	90909	90910
chr1	237237	237238
chr1	90928	90929
chr1	237256	237257
chr1	90930	90931
chr1	237258	237259
chr1	90942	90943
chr1	237270	237271
chr1	90957	90958
chr1	237285	237286
chr1	91007	91008
chr1	237335	237336
chr1	91064	91065
chr1	237392	237393
chr1	91106	91107
chr1	237434	237435
chr1	91120	91121
chr1	237448	237449
